test_url.py                139 DEBUG    [test_example_uri] start
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/url {"url": "https://qa:Af4shrewyirlyuds@ibitcy.com/interview/qa/mobile-deposit/"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "css selector", "value": "login-form"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "css selector", "value": "login-form"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "xpath", "value": "//div[@class='languages-buttons']/div[@class='lang en']/a"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element/cdfefeb8-58ce-4d06-ab5d-064eaf1368af/click {"id": "cdfefeb8-58ce-4d06-ab5d-064eaf1368af"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "css selector", "value": "login-form"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "css selector", "value": "login-form"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "xpath", "value": "//login-form/form/div[@class='amount-inputs']/input[@name='username']"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "xpath", "value": "//login-form/form/div[@class='amount-inputs']/textarea[@name='password']"}
remote_connection.py       573 DEBUG    Finished Request
remote_connection.py       486 DEBUG    POST http://127.0.0.1:57079/session/0203b355-ede1-486f-9f31-9cf68ce30cb1/element {"using": "xpath", "value": "//login-form/form/div[@class='submit gold']/a/span[@class='text']"}
remote_connection.py       573 DEBUG    Finished Request
